crop_name,cultivation_type,section,topic,body,source_file,source_loc
냉이,,재배법,씨뿌림,"시기 ： 9월 상순 / 씨뿌림 : 흩뿌리기 / 흙덮기하지 않음 / 씨앗양 : 2~3ℓ/10a / 아주심기 거리 : 이랑 너비 90cm / 관 리 / 포기 사이를 3~4㎝로 솎아줌 / 김매기 2회 / 병해충 / 달팽이 : 석회분말 살포 / 과번무에 의한 연부병 : 솎아줌 / 수 확 / 11~4월 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 퇴비 / 3,000 / - / 질소 / 6 / 인산 / 25 / 칼리 / 석회 / 150 / 시설재배 시 웃거름 1회 / 10월에 유기질비료 50kg/10a",dtl_30604.xml,절0
당근,,재배법,씨뿌림,"시기 / 촉성재배 : 하우스 11월 하순, 터널 1월 중순 / 봄 재배 : 3월(노지) / 가을 재배 : 중부 7월 중순, 남부 7월 하순 / 솎음 작업 : 본잎 3~4매 때 시작, 5~6매 때 종료, 노동력 유무에 따라 1~2회 실시 / 김매기 작업 : 씨뿌림 직후 제초제 사용 / 파종량 : 1~2ℓ/10a / 관 리 / 바닥 덮기 : 유공필름, 왕겨, 짚 등으로 덮기 / 물주기 : 씨뿌림 직후 및 가물 때 물주기 / 거리 : 이랑 너비 80~120cm, 포기 사이 8~10cm / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 3회 / 퇴비 / 1,000 / - / 질소 / 20.0 / 6.0 / 4.7 / 4.6 / 인산 / 9.6 / 칼리 / 12.2 / 7.9 / 1.5 / 1.4 / 붕사 / 100 / 웃거름 : 씨뿌림 후 20일부터 20일 간격",dtl_30605.xml,절0
두릅,,재배법,아주심기,"씨뿌림 : 3~4월 / 이듬해 아주심기 : 3~4월 / 묘 : 1,100~1,320개/10a / 아주심기 거리 : 포기 사이 50~60cm, 골 사이 150cm / 시기 : 3~4월 새순이 나오기 전 / 꺾꽂이순 : 지름 0.5~1cm, 길이 10cm / 아주심기 거리 : 줄간격 40~50cm, 폭 20cm 간격으로 꺾꽂이순을 평삽으로 놓고 3~5cm 깊이 흙덮기 / 방법 : 포기부터 30~40cm 떨어진 지면 부위를 삽 등으로 찍어 잘라줌 / 관 리 / 나무 모양 다듬기 / 5월 상중순 새순 수확 직후 / 1년 차 30cm 부위 절단 / 이후 10cm씩 높게 절단 / 1주당 4~6개 가지를 유지함 / 20~25개 줄기/3.3m2 / 수 확 / 어린순이 전개되어 12~15cm일 때 / 1차 수확 후 12~15일경 2차 수확 / 노지재배 : 4~5월 / 하우스재배 : 2~4월 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 3회 / 퇴비 / 1,500 / - / 질소 / 35 / 20 / 5 / 인산 / 70 / 칼리 / 40 / 25 / 석회 / 150 / 시기 / 아주심기 시 / 6월 상순 / 7월 상순 / 8월 상순",dtl_30606.xml,절0
딸기,사계성여름재배,재배법,묘 저장고 조건,"저장고 내 -2℃ 항상 유지 (잿빛곰팡이병 발생) / 깨끗한 창고 : 소독 및 살균 / 어미그루 아주심기 : 3월 중순~5월 상순 / 어미그루 아주심기 / 무병 건전묘 선발(바이러스, 시들음병, 응애,탄저병) / 어미그루포 선정 / 배지 내 토양소독, 새로운 상토 사용 / 아주심기 / 아주심기 시기 : 4~5월 / 아주심기 요령 / 밀도 : 5,000주/10a / 관부가 반 묻히도록 / 고설재배 시 가장자리에 아주심기 / 하우스 관리 / 환기 : 온도가 25℃ 이상 올라 갈 경우 강제 환기 / 바닥덮기(멀칭) : 흑백 비닐덮기로 반드시 윗면이 백색으로 / 보온 : 3~4월, 10월 이후 가급적 10℃ 이상 유지 위해 천창 및 측창에 보온 부직포 설치",dtl_30609.xml,절0
딸기,촉성재배,재배법,어미그루 아주심기,"무병 건전묘 선발(바이러스, 시들음병, 탄저병, 잎선충, 작은뿌리파리 등) / 어미그루포선정 / 토양(배지) 소독 / 새상토 사용 / 어미그루 아주심기 : 3월 상순~4월 상순 / 새끼묘 육성 / 건전 새끼묘 확보 / 예방적 방제 철저(시들음병, 탄저병, 역병, 작은뿌리파리, 점박이응애, 진딧물 등) / 기상상황에 따라 상토가 마르지 않게 물주기 / 잎 작업 시 병해충 방제 철저 / 빛 차단과 환기 시설을 이용해 온실 내부 온도 낮추기 / 양분이 지나치면 탄저병이 발생하기 쉬우므로 양분 조절 / 어미그루 아주심기 : 3월 중순~5월 상순 / 아주심기 / 시기 : 꽃눈분화 후 / 아주심기 전 재배지 소독 철저(최소 2주 이상) / 태양열 소독과 화학적 소독을 함께 진행 / 아주심기 후 뿌리내림 촉진 / 잎의 전개 촉진 / 물주기 / 아주심기 요령 / 재식거리(15-18cm), 밀도(9,000주/10a) / 관부가 반 묻히도록",dtl_30610.xml,절0
마늘,,재배법,씨뿌림,"시기 / 중부 10월 중순~10월 하순 / 남부 9월 상순~10월 상순 / 씨알 준비 : 60~80접/10a(200~220kg) / 씨알 소독 : 플루퀸코나졸(카스텔란, 파라시트) 500배액 / 디메토유레(로고, 록숀, 삼공디메토) 1,000배액 / 30분~1시간 침지→음건 후 씨뿌림 / 심는 거리 : / 줄 사이 15~20cm / 포기사이 10~12cm / 관 리 / 짚 덮기 : 11월 중하순 / 종제거 : 출현즉시 / 가물 때 물주기 / 김매기 : 제초제 이용 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 퇴비 / 1,200 / - / 요소 / 54 / 20 / 17 / 용과린 / 39 / 황산칼리 / 40 / 14 / 13 / 석회 / 200 / 조기재배 시 전량 밑거름 / 수 확 / 잎과 줄기가 2/3~1/2 황변할 때",dtl_30611.xml,절0
마늘,잎마늘,재배법,씨뿌림,"거리 / 이랑 너비 : 12cm / 포기 사이: 10cm / 관 리 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 퇴비 / 3,000 / - / 요소 / 54 / 20 / 17 / 용과린 / 39 / 황산칼리 / 40 / 14 / 13 / 석회 / 100~150 / 수 확 / 씨알 마늘 : 잎과 줄기가 2/3~1/2 황변할 때",dtl_30612.xml,절0
멜론,,재배법,토양수분 관리,"아주심기하여 뿌리내리기까지는 토양 수분이 부족하지 않게 관리 / 뿌리내림 후에는 점차 수분을 줄여 수정기에는 건조하게 관리 / 과실비대기에는 수분을 충분히 공급해 과실비대 촉진 / 수확기에는 토양수분을 줄여 당도 축적 유도 / 병해충 방제 / 흰가루병, 덩굴마름병, 검은점뿌리썩음병, 진딧물, 총채벌레, MNSV / 멜론의 비료성분 흡수량 / 구 분 / 질소 / 인산 / 칼리 / 석회 / 마그네슘 / 주당흡수량 / (1주 1과) / 예 1 / 4.4g / 1.6 / 6.8 / 9.3 / 1.2 / 예 2 / 5.5 / 2.2 / 6.7 / 7.5 / 2.6 / 10a당 흡수량 / (2,400주 아주심기) / 10.6kg / 3.8 / 16.8 / 22.3 / 2.7 / 13.2 / 5.3 / 16.2 / 18.0 / 6.2 / 일반적으로 멜론의 비료 흡수량은 그다지 많지 않음. / 흡수되지 않거나 녹아내려 가거나 휘산되는 양이 있기 때문에 비료 주는 양은 흡수량보다 많이 줘야 함. / 그러나 시설재배에서는 비를 맞지 않고 이어짓기 재배를 하므로 많이 주지 않는 것이 좋음.",dtl_30613.xml,절0
무,,재배법,씨뿌림,"시기 / 봄재배 : 터널 2월 중순 ~ 3월 중순 / 노지 3월 중순 ~ 4월 하순 / 가을재배 : 7월 하순 ~ 9월 상순 / 솎음 : 본잎 3~4매, 본잎 6~7매 2회 실시 / 김매기 : 씨뿌림 직후 전용 제초제 살포 / 씨앗양 : 8~10㎗/10a / 관리 / 바닥덮기(멀칭) 또는 무피복 : 바닥덮기 시 유공흑색필름 덮기 / 물주기 : 씨뿌림 직후 및 가뭄, 가물 때 물주기 / 1조식 : 이랑 간격 60~70cm, 포기사이 25~30cm / 2조식 : 이랑 너비 60cm(줄 간격 30cm) / 이랑 간격 30cm / 포기사이 35×22cm, 점뿌림 바로 뿌리기(파구당 3~4립) / 붕소결핍 시 붕사, 칼슘제 0.3%액 1주일 간격 2~3회 엽면 비료주기 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 퇴비 / 1,000 / - / 질소 / 28.0 / 10.0 / 9.0 / 인산 / 5.9 / 칼리 / 15.4 / 7.7 / 4.0 / 3.7 / 석회 / 100 / 붕사 / 1.5",dtl_30614.xml,절0
무,고랭지재배,재배법,씨뿌림,"시기 / 준고랭지(1기작) : 4월 하순~5월 중순 / 준고랭지(2기작) : 7월 상순~7월 하순 / 고랭지(단작) : 6월 상순~7월 상순 / 솎음 / 본잎 2~3매 시 제때, 1~2회 실시 / 본잎 6~7매 시 까지 종료 / 김매기 : 씨뿌림 직후 전용 제초제 살포 / 씨앗양 : 6~7㎗/10a / 관리 / 바닥덮기(멀칭) 또는 무피복 : 바닥덮기 시 유공흑색 필름 덮기 / 물주기 : 씨뿌림 직후 및 가뭄, 가물 때 물주기 / 1조식 이랑 간격 60~70cm, 포기 사이 25~30cm / 붕소, 칼슘 결핍 시 붕사, 칼슘제 0.3%액 / 1주일 간격 2~3회 엽면 비료 주기 / 비료주기 (kg/10a) / 비료주기 / 비료명 / 총량 / 밑거름 / 웃거름 / 1회 / 2회 / 요소 / 35 / 13 / 11 / 용성인비 / 60 / - / 염화칼리 / 25 / 9 / 8 / 소석회 / 75 / 붕사 / 2 / 퇴비 / 1,000",dtl_30615.xml,절0
