sigungu_code,sigungu_name,reg_id,method
36450,장성군,L1050600,exact
36460,완도군,L1053300,exact
36470,진도군,L1052300,exact
36480,신안군,L1050000,sido-fallback
37011,포항시남구,L1070000,sido-fallback
37012,포항시북구,L1070000,sido-fallback
37020,경주시,L1073100,exact
37030,김천시,L1072600,exact
37040,안동시,L1072700,exact
37050,구미시,L1070300,exact
37060,영주시,L1071600,exact
37070,영천시,L1070400,exact
37080,상주시,L1071200,exact
37090,문경시,L1071300,exact
37100,경산시,L1070500,exact
37310,군위군,L1070200,exact
37320,의성군,L1071700,exact
37330,청송군,L1071800,exact
37340,영양군,L1072800,exact
37350,영덕군,L1072200,exact
37360,청도군,L1070700,exact
37370,고령군,L1070800,exact
37380,성주군,L1070900,exact
37390,칠곡군,L1071000,exact
37400,예천군,L1071400,exact
37410,봉화군,L1072900,exact
37420,울진군,L1073000,exact
37430,울릉군,L1070000,sido-fallback
38030,진주시,L1081400,exact
38050,통영시,L1082000,exact
38060,사천시,L1082100,exact
38070,김해시,L1080900,exact
38080,밀양시,L1081000,exact
38090,거제시,L1082200,exact
38100,양산시,L1080500,exact
38111,창원시의창구,L1080000,sido-fallback
38112,창원시성산구,L1080000,sido-fallback
38113,창원시마산합포구,L1080000,sido-fallback
38114,창원시마산회원구,L1080000,sido-fallback
38115,창원시진해구,L1080000,sido-fallback
38310,의령군,L1081100,exact
38320,함안군,L1081200,exact
38330,창녕군,L1081300,exact
38340,고성군,L1082300,exact
38350,남해군,L1082400,exact
38360,하동군,L1083000,exact
38370,산청군,L1083100,exact
38380,함양군,L1083200,exact
38390,거창군,L1083300,exact
38400,합천군,L1083400,exact
39010,제주시,L1090000,sido-fallback
39020,서귀포시,L1090000,sido-fallback
