sigungu_code,sigungu_name,station,station_name,method,normal_station
37340,영양군,277,영덕,nearest,277
37350,영덕군,277,영덕,contains,277
37360,청도군,288,밀양,nearest,288
37370,고령군,285,합천,nearest,285
37380,성주군,279,구미,nearest,279
37390,칠곡군,279,구미,nearest,279
37400,예천군,273,문경,nearest,273
37410,봉화군,271,봉화,contains,271
37420,울진군,130,울진,contains,130
37430,울릉군,115,울릉도,contains,115
38030,진주시,192,진주,contains,192
38050,통영시,162,통영,contains,162
38060,사천시,45,하이,nearest,295
38070,김해시,253,김해시,contains,253
38080,밀양시,288,밀양,contains,288
38090,거제시,294,거제,contains,294
38100,양산시,257,양산시,contains,257
38111,창원시의창구,255,북창원,nearest,257
38112,창원시성산구,255,북창원,contains,257
38113,창원시마산합포구,155,창원,contains,155
38114,창원시마산회원구,155,창원,nearest,155
38115,창원시진해구,255,북창원,nearest,257
38310,의령군,263,의령군,contains,263
38320,함안군,263,의령군,nearest,263
38330,창녕군,288,밀양,nearest,288
38340,고성군,45,하이,contains,295
38350,남해군,295,남해,contains,295
38360,하동군,266,광양시,nearest,168
38370,산청군,289,산청,contains,289
38380,함양군,264,함양군,contains,264
38390,거창군,284,거창,contains,284
38400,합천군,285,합천,contains,285
39010,제주시,182,제주(공),contains,184
39020,서귀포시,189,서귀포,contains,189
