year,stn,name,days,actual_gdd,normal_gdd,deviation_pct
2024,90,속초,262,3000.2,2528.0,18.7
2024,95,철원,262,2931.8,2503.0,17.1
2024,98,동두천,262,3098.1,2737.8,13.2
2024,99,파주,261,2954.9,2646.6,11.6
2024,101,춘천,262,3068.2,2723.7,12.6
2024,102,백령도,262,2666.0,2324.7,14.7
2024,105,강릉,262,3307.5,2754.1,20.1
2024,106,동해,262,3088.1,2551.3,21.0
2024,108,서울,262,3353.7,2886.2,16.2
2024,112,인천,262,3117.9,2731.3,14.2
2024,114,원주,262,3268.8,2787.0,17.3
2024,115,울릉도,262,2977.3,2462.9,20.9
2024,119,수원,262,3153.9,2822.3,11.8
2024,121,영월,262,3048.9,2636.8,15.6
2024,127,충주,262,3150.7,2737.7,15.1
2024,129,서산,262,3087.2,2653.0,16.4
2024,130,울진,262,2960.9,2533.0,16.9
2024,131,청주,262,3492.3,2939.1,18.8
2024,133,대전,262,3319.3,2900.3,14.4
2024,135,추풍령,262,2970.2,2622.2,13.3
2024,136,안동,262,3168.2,2756.7,14.9
2024,137,상주,262,3263.2,2868.1,13.8
2024,138,포항,262,3389.4,2986.4,13.5
2024,140,군산,262,3181.7,2775.3,14.6
2024,143,대구,262,3467.7,3043.0,14.0
2024,146,전주,262,3452.3,2923.0,18.1
2024,152,울산,262,3242.2,2944.6,10.1
2024,155,창원,262,3444.0,3038.2,13.4
2024,156,광주,262,3465.1,3033.4,14.2
2024,159,부산,262,3466.2,2975.5,16.5
2024,162,통영,262,3319.4,2909.1,14.1
2024,165,목포,262,3269.9,2870.8,13.9
2024,168,여수,262,3349.0,2902.0,15.4
2024,169,흑산도,262,3155.9,2526.9,24.9
2024,170,완도,262,3469.2,2881.2,20.4
2024,172,고창,248,3010.4,2853.0,5.5
2024,184,제주,262,3740.5,3163.2,18.2
2024,185,고산,262,3445.3,2986.1,15.4
2024,188,성산,262,3494.4,2979.4,17.3
2024,189,서귀포,262,3726.7,3325.6,12.1
2024,192,진주,262,3271.0,2870.1,14.0
2024,201,강화,262,2855.3,2524.0,13.1
2024,202,양평,262,3157.7,2760.5,14.4
2024,203,이천,262,3178.8,2732.2,16.3
2024,211,인제,262,2936.9,2484.6,18.2
2024,212,홍천,262,3061.3,2669.7,14.7
2024,216,태백,262,2562.4,2099.1,22.1
2024,217,정선군,262,2950.2,2594.6,13.7
2024,221,제천,262,2866.3,2485.7,15.3
2024,226,보은,262,3011.9,2584.2,16.6
2024,232,천안,262,3083.6,2722.7,13.3
2024,235,보령,262,3148.5,2668.2,18.0
2024,236,부여,262,3210.1,2810.2,14.2
2024,238,금산,262,3128.2,2689.7,16.3
2024,243,부안,262,3268.8,2784.9,17.4
2024,244,임실,262,3071.1,2582.0,18.9
2024,245,정읍,262,3347.2,2895.8,15.6
2024,247,남원,262,3266.8,2789.4,17.1
2024,248,장수,262,2838.8,2427.8,16.9
2024,252,영광군,262,3197.1,2821.4,13.3
2024,253,김해시,262,3479.7,3204.9,8.6
2024,254,순창군,262,3253.6,2845.6,14.3
2024,257,양산시,262,3597.7,3137.7,14.7
2024,259,강진군,262,3335.1,2875.8,16.0
2024,260,장흥,262,3221.5,2763.1,16.6
2024,261,해남,262,3252.6,2776.1,17.2
2024,262,고흥,262,3324.8,2791.0,19.1
2024,263,의령군,262,3432.3,2912.8,17.8
2024,264,함양군,262,3223.6,2819.1,14.3
2024,268,진도군,262,3152.9,2799.2,12.6
2024,271,봉화,262,2774.2,2340.3,18.5
2024,272,영주,262,2954.3,2618.1,12.8
2024,273,문경,262,3076.8,2645.2,16.3
2024,276,청송군,262,2964.2,2598.3,14.1
2024,277,영덕,262,3067.2,2673.9,14.7
2024,278,의성,262,3166.8,2700.8,17.3
2024,279,구미,262,3358.9,2897.3,15.9
2024,281,영천,262,3191.9,2780.9,14.8
2024,283,경주시,262,3311.7,2898.9,14.2
2024,284,거창,262,3014.1,2663.2,13.2
2024,285,합천,262,3385.6,2903.8,16.6
2024,288,밀양,262,3478.0,2944.1,18.1
2024,289,산청,262,3228.6,2809.7,14.9
2024,294,거제,262,3292.2,2890.9,13.9
2024,295,남해,262,3348.0,2952.5,13.4
2025,90,속초,261,2941.1,2528.0,16.3
2025,95,철원,261,2786.7,2503.0,11.3
2025,98,동두천,261,2943.2,2737.8,7.5
2025,99,파주,261,2793.8,2646.6,5.6
2025,101,춘천,260,2947.2,2723.7,8.2
2025,102,백령도,261,2495.0,2324.7,7.3
2025,105,강릉,261,3319.8,2754.1,20.5
2025,106,동해,261,3031.2,2551.3,18.8
2025,108,서울,261,3214.0,2886.2,11.4
2025,112,인천,261,2957.7,2731.3,8.3
2025,114,원주,261,3112.2,2787.0,11.7
2025,115,울릉도,261,2953.4,2462.9,19.9
2025,119,수원,261,3016.8,2822.3,6.9
2025,121,영월,261,2906.8,2636.8,10.2
2025,127,충주,261,3018.1,2737.7,10.2
2025,129,서산,261,2905.8,2653.0,9.5
2025,130,울진,261,2965.5,2533.0,17.1
2025,131,청주,261,3349.8,2939.1,14.0
2025,133,대전,261,3251.8,2900.3,12.1
2025,135,추풍령,261,2861.9,2622.2,9.1
2025,136,안동,261,3066.8,2756.7,11.3
2025,137,상주,261,3160.6,2868.1,10.2
2025,138,포항,261,3320.8,2986.4,11.2
2025,140,군산,261,3020.7,2775.3,8.8
2025,143,대구,261,3334.8,3043.0,9.6
2025,146,전주,261,3320.2,2923.0,13.6
2025,152,울산,261,3148.2,2944.6,6.9
2025,155,창원,261,3290.1,3038.2,8.3
2025,156,광주,261,3303.8,3033.4,8.9
2025,159,부산,261,3283.6,2975.5,10.4
2025,162,통영,261,3127.7,2909.1,7.5
2025,165,목포,261,3121.2,2870.8,8.7
2025,168,여수,261,3144.2,2902.0,8.3
2025,169,흑산도,261,2997.4,2526.9,18.6
2025,170,완도,261,3282.8,2881.2,13.9
2025,172,고창,261,3050.7,2853.0,6.9
2025,184,제주,261,3525.3,3163.2,11.4
2025,185,고산,261,3222.6,2986.1,7.9
2025,188,성산,261,3276.4,2979.4,10.0
2025,189,서귀포,261,3567.0,3325.6,7.3
2025,192,진주,261,3050.8,2870.1,6.3
2025,201,강화,261,2714.8,2524.0,7.6
2025,202,양평,261,3026.9,2760.5,9.7
2025,203,이천,261,3056.5,2732.2,11.9
2025,211,인제,260,2717.9,2484.6,9.4
2025,212,홍천,257,2950.3,2669.7,10.5
2025,216,태백,261,2514.5,2099.1,19.8
2025,217,정선군,259,2865.5,2594.6,10.4
2025,221,제천,261,2732.8,2485.7,9.9
2025,226,보은,261,2872.4,2584.2,11.2
2025,232,천안,261,2938.8,2722.7,7.9
2025,235,보령,261,3005.1,2668.2,12.6
2025,236,부여,261,3039.8,2810.2,8.2
2025,238,금산,261,3049.7,2689.7,13.4
2025,243,부안,261,3127.2,2784.9,12.3
2025,244,임실,261,2919.6,2582.0,13.1
2025,245,정읍,261,3194.2,2895.8,10.3
2025,247,남원,261,3100.9,2789.4,11.2
2025,248,장수,261,2717.3,2427.8,11.9
2025,252,영광군,261,3078.8,2821.4,9.1
2025,253,김해시,259,3265.8,3204.9,1.9
2025,254,순창군,261,3073.8,2845.6,8.0
2025,257,양산시,261,3339.9,3137.7,6.4
2025,259,강진군,260,3184.8,2875.8,10.7
2025,260,장흥,261,3061.8,2763.1,10.8
2025,261,해남,261,3065.1,2776.1,10.4
2025,262,고흥,261,3121.9,2791.0,11.9
2025,263,의령군,261,3100.3,2912.8,6.4
2025,264,함양군,261,3062.2,2819.1,8.6
2025,268,진도군,261,2970.2,2799.2,6.1
2025,271,봉화,261,2629.7,2340.3,12.4
2025,272,영주,261,2848.2,2618.1,8.8
2025,273,문경,261,2974.8,2645.2,12.5
2025,276,청송군,261,2946.4,2598.3,13.4
2025,277,영덕,261,3020.8,2673.9,13.0
2025,278,의성,261,3095.7,2700.8,14.6
2025,279,구미,261,3298.7,2897.3,13.9
2025,281,영천,261,3094.2,2780.9,11.3
2025,283,경주시,261,3212.7,2898.9,10.8
2025,284,거창,259,2960.7,2663.2,11.2
2025,285,합천,261,3231.6,2903.8,11.3
2025,288,밀양,261,3356.6,2944.1,14.0
2025,289,산청,261,3074.3,2809.7,9.4
2025,294,거제,261,3096.8,2890.9,7.1
2025,295,남해,261,3171.5,2952.5,7.4
